Date,Open,High,Low,Close,Adj Close,Volume
2017-10-25,4.990000,5.000000,4.835000,4.902500,4.199955,10313600
2017-10-26,4.887500,4.935000,4.817500,4.877500,4.178537,8568400
2017-10-27,4.850000,4.862500,4.730000,4.835000,4.142128,8920800
2017-10-30,4.857500,4.867500,4.650000,4.692500,4.020049,9008000
2017-10-31,4.722500,4.760000,4.647500,4.672500,4.002914,8775600
2017-11-01,4.667500,4.737500,4.632500,4.650000,3.983639,9954800
2017-11-02,4.650000,4.650000,4.555000,4.627500,3.964364,11618400
2017-11-03,4.625000,4.637500,4.525000,4.525000,3.876552,8081600
2017-11-06,4.517500,4.552500,4.427500,4.457500,3.818725,12196000
2017-11-07,4.470000,4.497500,4.267500,4.277500,3.664519,11377600
2017-11-08,4.292500,4.322500,4.245000,4.300000,3.683795,8921600
2017-11-09,4.285000,4.497500,4.277500,4.390000,3.760898,11451600
2017-11-10,4.355000,4.355000,4.055000,4.107500,3.518881,23149600
2017-11-13,4.107500,4.210000,3.977500,4.050000,3.469621,17498800
2017-11-14,4.025000,4.095000,3.962500,4.047500,3.467479,14071200
2017-11-15,4.020000,4.125000,3.962500,4.000000,3.426786,15286000
2017-11-16,4.002500,4.197500,4.002500,4.045000,3.465338,19420400
2017-11-17,4.077500,4.145000,4.037500,4.077500,3.493180,12778000
2017-11-20,4.100000,4.115000,4.007500,4.110000,3.521022,15186800
2017-11-21,4.125000,4.197500,4.065000,4.182500,3.583133,37409600
2017-11-22,4.462500,4.675000,4.325000,4.342500,3.720205,80569600
2017-11-24,4.357500,4.545000,4.337500,4.355000,3.730913,25896800
2017-11-27,4.397500,4.547500,4.397500,4.542500,3.891545,23387200
2017-11-28,4.542500,4.765000,4.542500,4.755000,4.073592,23533600
2017-11-29,4.772500,4.922500,4.765000,4.880000,4.180679,25909200
2017-11-30,4.805000,4.835000,4.675000,4.687500,4.095493,20098800
2017-12-01,4.682500,4.790000,4.620000,4.692500,4.099862,15327600
2017-12-04,4.760000,4.965000,4.747500,4.850000,4.237470,17445200
2017-12-05,4.882500,4.912500,4.737500,4.817500,4.209075,12323600
2017-12-06,4.817500,4.837500,4.732500,4.752500,4.152284,9721200
2017-12-07,4.747500,4.787500,4.652500,4.657500,4.069281,13109200
2017-12-08,4.720000,4.845000,4.667500,4.800000,4.193785,12568400
2017-12-11,4.820000,4.840000,4.667500,4.767500,4.165389,14610000
2017-12-12,4.787500,4.825000,4.740000,4.777500,4.174127,10131600
2017-12-13,4.775000,4.790000,4.652500,4.667500,4.078019,12346400
2017-12-14,4.702500,4.732500,4.585000,4.595000,4.014675,11272400
2017-12-15,4.610000,4.645000,4.542500,4.585000,4.005939,15500800
2017-12-18,4.612500,4.687500,4.600000,4.665000,4.075834,12825600
2017-12-19,4.675000,4.700000,4.592500,4.597500,4.016860,9014800
